ano,mes,ppm
1959,jan,315.42
1959,fev,316.31
1959,mar,316.5
1959,abr,317.56
1959,mai,318.13
1959,jun,318
1959,jul,316.39
1959,ago,314.65
1959,set,313.68
1959,out,313.18
1959,nov,314.66
1959,dez,315.43
1960,jan,316.27
1960,fev,316.81
1960,mar,317.42
1960,abr,318.87
1960,mai,319.87
1960,jun,319.43
1960,jul,318.01
1960,ago,315.74
1960,set,314
1960,out,313.68
1960,nov,314.84
1960,dez,316.03
1961,jan,316.73
1961,fev,317.54
1961,mar,318.38
1961,abr,319.31
1961,mai,320.42
1961,jun,319.61
1961,jul,318.42
1961,ago,316.63
1961,set,314.83
1961,out,315.16
1961,nov,315.94
1961,dez,316.85
1962,jan,317.78
1962,fev,318.4
1962,mar,319.53
1962,abr,320.42
1962,mai,320.85
1962,jun,320.45
1962,jul,319.45
1962,ago,317.25
1962,set,316.11
1962,out,315.27
1962,nov,316.53
1962,dez,317.53
1963,jan,318.58
1963,fev,318.92
1963,mar,319.7
1963,abr,321.22
1963,mai,322.08
1963,jun,321.31
1963,jul,319.58
1963,ago,317.61
1963,set,316.05
1963,out,315.83
1963,nov,316.91
1963,dez,318.2
1964,jan,319.41
1964,fev,320.07
1964,mar,320.74
1964,abr,321.4
1964,mai,322.06
1964,jun,321.73
1964,jul,320.27
1964,ago,318.54
1964,set,316.54
1964,out,316.71
1964,nov,317.53
1964,dez,318.55
1965,jan,319.27
1965,fev,320.28
1965,mar,320.73
1965,abr,321.97
1965,mai,322
1965,jun,321.71
1965,jul,321.05
1965,ago,318.71
1965,set,317.66
1965,out,317.14
1965,nov,318.7
1965,dez,319.25
1966,jan,320.46
1966,fev,321.43
1966,mar,322.23
1966,abr,323.54
1966,mai,323.91
1966,jun,323.59
1966,jul,322.24
1966,ago,320.2
1966,set,318.48
1966,out,317.94
1966,nov,319.63
1966,dez,320.87
1967,jan,322.17
1967,fev,322.34
1967,mar,322.88
1967,abr,324.25
1967,mai,324.83
1967,jun,323.93
1967,jul,322.38
1967,ago,320.76
1967,set,319.1
1967,out,319.24
1967,nov,320.56
1967,dez,321.8
1968,jan,322.4
1968,fev,322.99
1968,mar,323.73
1968,abr,324.86
1968,mai,325.4
1968,jun,325.2
1968,jul,323.98
1968,ago,321.95
1968,set,320.18
1968,out,320.09
1968,nov,321.16
1968,dez,322.74
1969,jan,323.83
1969,fev,324.26
1969,mar,325.47
1969,abr,326.5
1969,mai,327.21
1969,jun,326.54
1969,jul,325.72
1969,ago,323.5
1969,set,322.22
1969,out,321.62
1969,nov,322.69
1969,dez,323.95
1970,jan,324.89
1970,fev,325.82
1970,mar,326.77
1970,abr,327.97
1970,mai,327.91
1970,jun,327.5
1970,jul,326.18
1970,ago,324.53
1970,set,322.93
1970,out,322.9
1970,nov,323.85
1970,dez,324.96
1971,jan,326.01
1971,fev,326.51
1971,mar,327.01
1971,abr,327.62
1971,mai,328.76
1971,jun,328.4
1971,jul,327.2
1971,ago,325.27
1971,set,323.2
1971,out,323.4
1971,nov,324.63
1971,dez,325.85
1972,jan,326.6
1972,fev,327.47
1972,mar,327.58
1972,abr,329.56
1972,mai,329.9
1972,jun,328.92
1972,jul,327.88
1972,ago,326.16
1972,set,324.68
1972,out,325.04
1972,nov,326.34
1972,dez,327.39
1973,jan,328.37
1973,fev,329.4
1973,mar,330.14
1973,abr,331.33
1973,mai,332.31
1973,jun,331.9
1973,jul,330.7
1973,ago,329.15
1973,set,327.35
1973,out,327.02
1973,nov,327.99
1973,dez,328.48
1974,jan,329.18
1974,fev,330.55
1974,mar,331.32
1974,abr,332.48
1974,mai,332.92
1974,jun,332.08
1974,jul,331.01
1974,ago,329.23
1974,set,327.27
1974,out,327.21
1974,nov,328.29
1974,dez,329.41
1975,jan,330.23
1975,fev,331.25
1975,mar,331.87
1975,abr,333.14
1975,mai,333.8
1975,jun,333.43
1975,jul,331.73
1975,ago,329.9
1975,set,328.4
1975,out,328.17
1975,nov,329.32
1975,dez,330.59
1976,jan,331.58
1976,fev,332.39
1976,mar,333.33
1976,abr,334.41
1976,mai,334.71
1976,jun,334.17
1976,jul,332.89
1976,ago,330.77
1976,set,329.14
1976,out,328.78
1976,nov,330.14
1976,dez,331.52
1977,jan,332.75
1977,fev,333.24
1977,mar,334.53
1977,abr,335.9
1977,mai,336.57
1977,jun,336.1
1977,jul,334.76
1977,ago,332.59
1977,set,331.42
1977,out,330.98
1977,nov,332.24
1977,dez,333.68
1978,jan,334.8
1978,fev,335.22
1978,mar,336.47
1978,abr,337.59
1978,mai,337.84
1978,jun,337.72
1978,jul,336.37
1978,ago,334.51
1978,set,332.6
1978,out,332.38
1978,nov,333.75
1978,dez,334.78
1979,jan,336.05
1979,fev,336.59
1979,mar,337.79
1979,abr,338.71
1979,mai,339.3
1979,jun,339.12
1979,jul,337.56
1979,ago,335.92
1979,set,333.75
1979,out,333.7
1979,nov,335.12
1979,dez,336.56
1980,jan,337.84
1980,fev,338.19
1980,mar,339.91
1980,abr,340.6
1980,mai,341.29
1980,jun,341
1980,jul,339.39
1980,ago,337.43
1980,set,335.72
1980,out,335.84
1980,nov,336.93
1980,dez,338.04
1981,jan,339.06
1981,fev,340.3
1981,mar,341.21
1981,abr,342.33
1981,mai,342.74
1981,jun,342.08
